lat,lon
671331.2276,2286931.89
671334.2454,2287004.217
669970.1065,2286955.57
669992.1148,2285989.483
669964.6007,2285969.278
669957.6609,2285944.408
669960.6709,2285924.842
668937.4322,2285434.095
668475.756,2285147.062
668447.6088,2285166.553
668406.4518,2285168.847
668372.8065,2285157.109
